"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLAIN2",7.31186319870672e-292,0.269850817154303,0.431,0.221,1.66154779327411e-287,"2","SLAIN2"
"CCT3",7.37539591381487e-291,0.306271037982629,0.679,0.434,1.67598496745529e-286,"2","CCT3"
"MRPL4",1.99816363769417e-290,0.290574732137447,0.487,0.271,4.54062705029623e-286,"2","MRPL4"
"RNF126",3.58896827862379e-290,0.266227329789223,0.442,0.23,8.1555715163447e-286,"2","RNF126"
"EFNA11",7.63045180455499e-290,0.312436524396146,0.585,0.324,1.73394386806708e-285,"2","EFNA1"
"LUC7L3",1.31817209964046e-289,0.359852086636471,0.784,0.57,2.99541427922298e-285,"2","LUC7L3"
"UBAP1",1.37160261905697e-289,0.25721307978637,0.374,0.18,3.11682979154507e-285,"2","UBAP1"
"PRCC",1.79609281429381e-289,0.257599087220739,0.385,0.188,4.08144131120126e-285,"2","PRCC"
"SSU72",2.18764526635834e-288,0.300954077719303,0.587,0.352,4.97120510327269e-284,"2","SSU72"
"ATP5F1B",5.5918891764761e-288,0.344446765147505,0.898,0.756,1.27070089646243e-283,"2","ATP5F1B"
"SERP1",4.01781608485617e-287,0.368354097888918,0.878,0.734,9.13008527122715e-283,"2","SERP1"
"PRPF38B",6.44307988150829e-287,0.323886319886399,0.713,0.472,1.46412547227394e-282,"2","PRPF38B"
"IGFBP3",9.55018895788157e-287,0.443456934804312,0.308,0.134,2.17018493878901e-282,"2","IGFBP3"
"SELENOT",1.5741088493855e-286,0.291643566548979,0.553,0.322,3.5770049493436e-282,"2","SELENOT"
"ALYREF",1.81437405069025e-286,0.284713037098805,0.508,0.283,4.12298359278853e-282,"2","ALYREF"
"PNPLA8",2.82437423657064e-285,0.332570371842675,0.598,0.367,6.41810801518313e-281,"2","PNPLA8"
"OAT1",4.8786125329728e-284,0.307077499399763,0.635,0.388,1.10861591199274e-279,"2","OAT"
"FBXO32",7.96540252603358e-284,0.353983450362879,0.331,0.152,1.81005807001587e-279,"2","FBXO32"
"KTN11",1.88694009847571e-283,0.310974102530934,0.883,0.678,4.2878826797762e-279,"2","KTN1"
"SRP19",5.33976839775419e-283,0.297758388182447,0.532,0.31,1.21340897070566e-278,"2","SRP19"
"KDM5B",2.90070446797057e-279,0.303226901271601,0.401,0.205,6.59156083301632e-275,"2","KDM5B"
"FBRS",7.56703288682993e-279,0.254946020550377,0.377,0.184,1.71953255320323e-274,"2","FBRS"
"RALBP1",1.43388058728604e-278,0.310327324487385,0.642,0.406,3.2583502465488e-274,"2","RALBP1"
"GNG51",1.79671222917793e-278,0.330030862318412,0.92,0.776,4.08284886958392e-274,"2","GNG5"
"FBLIM1",3.22953352807953e-278,0.265916636351828,0.293,0.125,7.33879198920792e-274,"2","FBLIM1"
"BCAS2",2.48231008827826e-276,0.305706172451657,0.575,0.348,5.64080144460351e-272,"2","BCAS2"
"RAB9A",4.85706589085617e-276,0.269452283491033,0.426,0.223,1.10371965303816e-271,"2","RAB9A"
"KATNBL1",1.70384474224814e-275,0.279170121364845,0.433,0.229,3.87181679228467e-271,"2","KATNBL1"
"ATP1B1",1.51277615523984e-274,0.297949413649529,0.344,0.159,3.43763253516702e-270,"2","ATP1B1"
"ZNF131",3.65139062215934e-274,0.257144263986698,0.461,0.246,8.29742004979488e-270,"2","ZNF131"
"ZC2HC1A",7.19328115413049e-273,0.255187589603651,0.314,0.142,1.63460120946461e-268,"2","ZC2HC1A"
"MBD2",9.65064518168535e-272,0.279182792196599,0.518,0.298,2.19301261108618e-267,"2","MBD2"
"VDAC1",4.72837357040946e-271,0.283951956183937,0.674,0.434,1.07447561013985e-266,"2","VDAC1"
"MRPS12",1.45721581507481e-269,0.252185147310738,0.431,0.227,3.311377218176e-265,"2","MRPS12"
"H2AFX",1.82002670010531e-269,0.381429261504117,0.725,0.502,4.13582867331932e-265,"2","H2AFX"
"RNMT",4.26193531315451e-268,0.283242737086824,0.481,0.268,9.6848218056123e-264,"2","RNMT"
"DPM1",1.86230620217172e-266,0.253014616735782,0.442,0.237,4.23190461381502e-262,"2","DPM1"
"EIF5",2.4641842733779e-265,0.368141765981455,0.967,0.91,5.59961234282394e-261,"2","EIF5"
"AKIRIN2",4.29281009578229e-265,0.339618990709004,0.511,0.303,9.75498166165569e-261,"2","AKIRIN2"
"COPS3",6.98557153261732e-263,0.258188143988722,0.474,0.264,1.58740127507196e-258,"2","COPS3"
"GABPB1-AS1",2.61748718090695e-262,0.321914885135302,0.425,0.228,5.94797786989295e-258,"2","GABPB1-AS1"
