"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042063","GO:0042063","gliogenesis","28/782","320/18614",0.000211804983569785,0.0042724344175311,0.00340679057474941,"1281/5764/4035/54587/1191/301/4192/5270/4323/2896/147495/706/26022/7431/8613/928/1902/351/1272/3074/3953/3912/5354/90865/57142/274/4692/3913",28
"GO:0031346","GO:0031346","positive regulation of cell projection organization","30/782","353/18614",0.000212781593199592,0.00427425025339681,0.00340823850160048,"6387/5764/5176/1382/2335/4192/348/11075/2896/257194/5168/5295/9353/1809/6624/1272/5898/64175/5754/285016/5064/2534/8321/116985/148170/11344/950/90410/6092/1627",30
"GO:0071634","GO:0071634","regulation of transforming growth factor beta production","8/782","40/18614",0.000217844321648319,0.00433978295316755,0.00346049353049005,"4060/2335/7148/5743/4052/947/3685/25987",8
"GO:0140448","GO:0140448","signaling receptor ligand precursor processing","8/782","40/18614",0.000217844321648319,0.00433978295316755,0.00346049353049005,"5034/10699/25825/1803/590/1514/4311/81555",8
"GO:0030301","GO:0030301","cholesterol transport","15/782","124/18614",0.000220628734082468,0.00436682701505032,0.0034820581576139,"4035/1191/5360/10577/348/10351/302/706/1645/1066/4792/55004/51474/341/25987",15
"GO:0061035","GO:0061035","regulation of cartilage development","11/782","73/18614",0.000221013439467388,0.00436682701505032,0.0034820581576139,"1513/2202/4192/26585/4054/2734/94/649/7227/5916/4094",11
"GO:1902644","GO:1902644","tertiary alcohol metabolic process","6/782","22/18614",0.000225703806679895,0.00442841188868037,0.0035311652348739,"1645/8574/8644/10327/1646/231",6
"GO:0030832","GO:0030832","regulation of actin filament length","17/782","152/18614",0.000225967501475912,0.00442841188868037,0.0035311652348739,"2934/6387/2006/120/9168/822/9353/130271/51429/6711/51474/11078/6840/274/148170/11344/29108",17
"GO:1902904","GO:1902904","negative regulation of supramolecular fiber organization","18/782","167/18614",0.000238021595658357,0.00464575754116979,0.00370447418429286,"2934/1191/348/120/11117/11075/9168/822/5295/9353/130271/6711/51474/11078/6840/84952/116985/11344",18
"GO:1903018","GO:1903018","regulation of glycoprotein metabolic process","10/782","62/18614",0.000239726477297742,0.00466016672198554,0.00371596390106687,"1471/9452/3479/9445/5806/6934/81618/25825/90865/2801",10
